parent_code,parent_description,diagnosis_code,diagnosis_description,2018-19,2019-20,2020-21,2021-22,2022-23,baseline,lockdown,recovery,abs_change_lockdown_vs_baseline,pct_change_lockdown_vs_baseline,rank_in_parent,parent_label,leaf_label,pct_change_color
A41,Other sepsis,A41.0,Sepsis due to Staphylococcus aureus,2838.0,2736.0,2201.0,2433.0,2457.0,2838.0,2201.0,2457.0,-637.0,-22.44538407329105,3.0,A41 – Other sepsis,A41.0 – Sepsis due to<br>Staphylococcus aureus,-22.44538407329105
A41,Other sepsis,A41.5,Sepsis due to other Gram-negative organisms,18092.0,17257.0,14347.0,15319.0,14753.0,18092.0,14347.0,14753.0,-3745.0,-20.69975679858501,2.0,A41 – Other sepsis,A41.5 – Sepsis due to other Gram-<br>negative organisms,-20.69975679858501
A41,Other sepsis,A41.9,"Sepsis, unspecified",111183.0,101327.0,66784.0,78676.0,78542.0,111183.0,66784.0,78542.0,-44399.0,-39.933263178723365,1.0,A41 – Other sepsis,"A41.9 – Sepsis, unspecified",-39.933263178723365
J18,"Pneumonia, organism unspecified",J18.0,"Bronchopneumonia, unspecified",6007.0,6189.0,3187.0,4352.0,5351.0,6007.0,3187.0,5351.0,-2820.0,-46.9452305643416,3.0,"J18 – Pneumonia, organism<br>unspecified","J18.0 – Bronchopneumonia,<br>unspecified",-46.93736967571522
J18,"Pneumonia, organism unspecified",J18.1,"Lobar pneumonia, unspecified",151685.0,161760.0,80496.0,105037.0,123129.0,151685.0,80496.0,123129.0,-71189.0,-46.932129083297625,1.0,"J18 – Pneumonia, organism<br>unspecified","J18.1 – Lobar pneumonia,<br>unspecified",-46.932129083297625
J18,"Pneumonia, organism unspecified",J18.9,"Pneumonia, unspecified",87491.0,94587.0,47977.0,64441.0,75144.0,87491.0,47977.0,75144.0,-39514.0,-45.16350253168898,2.0,"J18 – Pneumonia, organism<br>unspecified","J18.9 – Pneumonia, unspecified",-45.16350253168898
J44,Other chronic obstructive pulmonary disease,J44.0,Chronic obstructive pulmonary disease with acute lower respiratory infection,87212.0,89425.0,44071.0,63180.0,71363.0,87212.0,44071.0,71363.0,-43141.0,-49.46681649314314,1.0,J44 – Other chronic<br>obstructive pulmonary<br>disease,J44.0 – Chronic obstructive<br>pulmonary disease with<br>acute lower respiratory<br>infection,-46.93736967571522
J44,Other chronic obstructive pulmonary disease,J44.1,"Chronic obstructive pulmonary disease with acute exacerbation, unspecified",34712.0,34432.0,24074.0,31913.0,29954.0,34712.0,24074.0,29954.0,-10638.0,-30.64646231850657,2.0,J44 – Other chronic<br>obstructive pulmonary<br>disease,"J44.1 – Chronic obstructive<br>pulmonary disease with<br>acute exacerbation,<br>unspecified",-30.64646231850657
J44,Other chronic obstructive pulmonary disease,J44.9,"Chronic obstructive pulmonary disease, unspecified",5705.0,6144.0,3663.0,4585.0,4230.0,5705.0,3663.0,4230.0,-2042.0,-35.7931638913234,3.0,J44 – Other chronic<br>obstructive pulmonary<br>disease,"J44.9 – Chronic obstructive<br>pulmonary disease,<br>unspecified",-35.7931638913234
N39,Other disorders of urinary system,N39.0,"Urinary tract infection, site not specified",158310.0,154589.0,116018.0,129020.0,121466.0,158310.0,116018.0,121466.0,-42292.0,-26.71467374139347,1.0,N39 – Other disorders of<br>urinary system,"N39.0 – Urinary tract infection,<br>site not specified",-26.71467374139347
N39,Other disorders of urinary system,N39.9,"Disorder of urinary system, unspecified",126.0,112.0,71.0,115.0,129.0,126.0,71.0,129.0,-55.0,-43.65079365079365,2.0,N39 – Other disorders of<br>urinary system,"N39.9 – Disorder of urinary<br>system, unspecified",-43.65079365079365
R07,Pain in throat and chest,R07.2,Precordial pain,50428.0,50098.0,46621.0,48984.0,39957.0,50428.0,46621.0,39957.0,-3807.0,-7.549377330054732,3.0,R07 – Pain in throat and chest,R07.2 – Precordial pain,-9.704273384723054
R07,Pain in throat and chest,R07.3,Other chest pain,73831.0,75318.0,68427.0,79400.0,71172.0,73831.0,68427.0,71172.0,-5404.0,-7.319418672373393,2.0,R07 – Pain in throat and chest,R07.3 – Other chest pain,-9.704273384723054
R07,Pain in throat and chest,R07.4,"Chest pain, unspecified",126347.0,123362.0,105953.0,117778.0,107055.0,126347.0,105953.0,107055.0,-20394.0,-16.14126176323933,1.0,R07 – Pain in throat and chest,"R07.4 – Chest pain, unspecified",-16.14126176323933
R10,Abdominal and pelvic pain,R10.1,Pain localized to upper abdomen,52644.0,52935.0,46779.0,50895.0,47046.0,52644.0,46779.0,47046.0,-5865.0,-11.140870754501938,3.0,R10 – Abdominal and pelvic<br>pain,R10.1 – Pain localized to upper<br>abdomen,-11.140870754501938
R10,Abdominal and pelvic pain,R10.3,Pain localized to other parts of lower abdomen,96350.0,97868.0,81045.0,88732.0,82410.0,96350.0,81045.0,82410.0,-15305.0,-15.884795018162947,1.0,R10 – Abdominal and pelvic<br>pain,R10.3 – Pain localized to other<br>parts of lower abdomen,-15.884795018162947
R10,Abdominal and pelvic pain,R10.4,Other and unspecified abdominal pain,90106.0,86147.0,68934.0,75095.0,69824.0,90106.0,68934.0,69824.0,-21172.0,-23.49677047033494,2.0,R10 – Abdominal and pelvic<br>pain,R10.4 – Other and unspecified<br>abdominal pain,-23.49677047033494
